system:index,bio04,bio12,dist_to_river_km,elevation,elevation_ee,soil_ph,.geo
00000000000000000062_0,711.0,1908.0,0.8434197534089767,0,152,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.4332346410879,-9.979122440187297]}"
00000000000000000066_0,681.0,1900.0,1.5461995970376952,0,164,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.17047742048294,-9.839883571148775]}"
0000000000000000006a_0,727.0,1867.0,0.8036865915224173,0,153,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.29848734846998,-10.25310860184375]}"
0000000000000000006c_0,732.0,1894.0,2.681818399661773,0,210,48,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.31869944236267,-10.075691333230154]}"
0000000000000000006d_0,711.0,1908.0,1.0408690617098497,0,155,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.4287430646673,-9.979122440187297]}"
0000000000000000006e_0,732.0,1910.0,1.2276846863245714,0,161,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.35014047730685,-9.902765641037135]}"
00000000000000000071_0,690.0,1905.0,0.956577540852135,0,136,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.15026532659026,-9.74556046631622]}"
00000000000000000072_0,678.0,1907.0,1.1770332825806626,0,154,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.14128217374906,-9.74106888989563]}"
00000000000000000073_0,722.0,1905.0,1.2403303265427266,0,173,48,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.40853097077462,-10.003826110500583]}"
00000000000000000077_0,725.0,1857.0,0.7106203074694447,0,156,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.23560527858162,-10.304761730680625]}"
00000000000000000079_0,732.0,1914.0,1.5289400383739051,0,186,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.49387092276598,-10.003826110500583]}"
0000000000000000007a_0,497.0,2007.0,0.7131380348478839,0,179,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.59131525968368,-10.275566483946747]}"
0000000000000000007b_0,693.0,1868.0,0.7258690307586594,0,165,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.09187483312249,-10.13183603848762]}"
0000000000000000007e_0,480.0,1975.0,0.7951312511120664,0,164,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.49474636664084,-10.257600178264354]}"
0000000000000000007f_0,501.0,1969.0,0.9167642122371561,0,157,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.488009002009946,-10.235142296161357]}"
00000000000000000080_0,497.0,1996.0,0.22620626174374542,0,169,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.45207639064516,-9.988105593028493]}"
00000000000000000081_0,705.0,1908.0,0.5304044689198448,0,148,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.41975991182612,-9.945435617032814]}"
00000000000000000083_0,516.0,2014.0,0.6557351734217423,0,165,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.55313686010861,-10.109378156384636]}"
00000000000000000085_0,710.0,1896.0,1.4661881081377701,0,184,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.40403939435402,-10.104886579964031]}"
00000000000000000087_0,659.0,1852.0,0.291079302822428,0,122,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-66.56860618012287,-9.882553547144454]}"
0000000000000000008a_0,666.0,1640.0,0.41260611479357795,0,142,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-65.5647388501193,-10.765148313791883]}"
00000000000000000091_0,735.0,1870.0,0.8470842812798562,0,147,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.32543680699357,-10.241879660792264]}"
00000000000000000092_0,725.0,1857.0,0.5400331434238704,0,160,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.23560527858162,-10.302515942470322]}"
00000000000000000093_0,716.0,1905.0,0.8124580476663679,0,146,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.27153788994639,-9.853358300410562]}"
00000000000000000094_0,773.0,1867.0,0.4847400973218808,0,163,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.4332346410879,-10.365398012358696]}"
00000000000000000095_0,791.0,1864.0,0.852197866797478,0,160,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.40179360614373,-10.365398012358696]}"
00000000000000000096_0,727.0,1876.0,0.6435374263950704,0,157,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.37933572404073,-10.235142296161357]}"
00000000000000000099_0,705.0,1910.0,0.6726813096035023,0,144,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.28276683099789,-9.828654630097276]}"
0000000000000000009a_0,715.0,1895.0,0.6815806838487755,0,177,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.30971628952148,-10.057725027547761]}"
0000000000000000009b_0,502.0,2069.0,0.7085729789459636,0,109,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.32144762548863,-9.350301741303639]}"
0000000000000000009c_0,473.0,2133.0,1.0568985581072396,0,144,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.10585195729995,-9.049366121123597]}"
0000000000000000009d_0,482.0,2078.0,0.7197293625987231,0,146,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.09686880445875,-9.312123341728551]}"
0000000000000000009e_0,564.0,1968.0,2.1646960912952813,0,230,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-58.57135436324883,-10.111623944594925]}"
0000000000000000009f_0,460.0,2128.0,1.314840956211055,0,147,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.108097745510236,-9.051611909333886]}"
000000000000000000a0_0,549.0,1974.0,1.069731122554441,0,230,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-58.57584593966942,-10.030775569024172]}"
000000000000000000a1_0,520.0,2121.0,0.5250991147508192,0,230,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-58.13791723866116,-9.287419671415265]}"
000000000000000000a2_0,606.0,1977.0,0.7690031528911239,0,215,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-58.32880923653656,-10.392347470882285]}"
000000000000000000a3_0,528.0,2105.0,1.3986773123993854,0,284,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.83698161848112,-9.592846868015911]}"
000000000000000000a4_0,527.0,2057.0,0.5481409824527608,0,250,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-58.113213568347874,-9.588355291595306]}"
000000000000000000a5_0,527.0,2057.0,0.5481409824527608,0,250,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-58.113213568347874,-9.588355291595306]}"
000000000000000000a6_0,563.0,1938.0,1.1775946762660843,0,241,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-58.50622650515017,-10.360906435938091]}"
000000000000000000a7_0,488.0,2082.0,0.7666216569901407,0,165,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.73916423260421,-9.321106494569747]}"
000000000000000000a8_0,511.0,2053.0,1.1782378402076445,0,214,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-58.22550297886281,-9.53221058633784]}"
000000000000000000a9_0,539.0,2055.0,1.394976516981242,0,268,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.97397469930934,-9.797213595153096]}"
000000000000000000aa_0,482.0,2091.0,0.5629960230654003,0,235,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-58.85656946595677,-9.244749695419586]}"
000000000000000000ab_0,831.0,2290.0,0.631098089525703,0,304,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.68002764121803,-11.863338748627996]}"
000000000000000000ac_0,860.0,2375.0,1.058075524405193,0,315,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.40379569135128,-11.998086041245926]}"
000000000000000000ad_0,918.0,2256.0,1.3772080852706214,0,314,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.3521425625144,-12.164274368808037]}"
000000000000000000ae_0,919.0,2178.0,0.717022204218409,0,294,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.3521425625144,-12.283301143953878]}"
000000000000000000af_0,916.0,2112.0,1.7999046023414778,0,318,48,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.1679879292699,-12.299021661425968]}"
000000000000000000b0_0,941.0,2075.0,1.4605955324242637,0,316,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.192691599583185,-12.384361613417312]}"
000000000000000000b1_0,951.0,2046.0,4.51541585203306,0,323,48,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.16574214105961,-12.42703158941299]}"
000000000000000000b2_0,952.0,2072.0,2.9807662349166244,0,319,49,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.266802610523044,-12.440506318674792]}"
000000000000000000b3_0,924.0,1964.0,2.586817483652125,0,315,49,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.10510585938154,-12.559533093820619]}"
000000000000000000b4_0,962.0,1941.0,1.0747373907848192,0,319,48,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.06692745980645,-12.590974128764813]}"
000000000000000000b5_0,963.0,1945.0,0.7138101368173541,0,320,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.27803155157454,-12.692034598228247]}"
00000000000000000067_0,724.0,1934.0,0.794064945925193,149,147,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.54327826339255,-9.794967806942793]}"
0000000000000000006b_0,693.0,1962.0,0.621215582288562,155,157,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.74989077874004,-9.5950926562262]}"
0000000000000000008d_0,724.0,1909.0,1.2661986240365888,156,163,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.50509986381746,-10.053233451127156]}"
0000000000000000005e_0,763.0,1930.0,1.505216222718862,158,161,50,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.6241266389633,-9.929715099560724]}"
00000000000000000053_0,724.0,1908.0,0.4692547847383164,160,164,49,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.55001562802344,-10.109378156384636]}"
00000000000000000098_0,756.0,1908.0,0.2500989217925063,169,169,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.60166875686032,-10.154293920590604]}"
00000000000000000089_0,801.0,1842.0,0.5972999140401258,170,169,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.66679661495898,-10.670825208959329]}"
00000000000000000074_0,679.0,1990.0,1.4884570263555894,173,171,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.85544282462408,-9.343564376672731]}"
00000000000000000064_0,761.0,1868.0,0.5552216636760039,191,195,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.6353555800148,-10.515865822448717]}"
0000000000000000007c_0,775.0,1899.0,1.7865183173132737,191,192,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.58145666296762,-10.214930202268675]}"
00000000000000000090_0,760.0,1889.0,0.9293723876990639,195,203,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.56798193370584,-10.29802436604973]}"
00000000000000000078_0,736.0,1900.0,1.8632553554223377,196,196,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.53878668697195,-10.19471810837598]}"
00000000000000000065_0,793.0,1909.0,2.0710372912619524,198,199,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.6510760974869,-10.205947049427479]}"
00000000000000000052_0,716.0,1899.0,1.4655325388180134,199,203,48,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.54103247518225,-10.205947049427479]}"
00000000000000000075_0,760.0,1887.0,1.727344816620138,199,210,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.56124456907494,-10.333956977414516]}"
00000000000000000084_0,757.0,1886.0,1.3393389942117093,202,202,48,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.53654089876166,-10.327219612783608]}"
00000000000000000097_0,793.0,1909.0,1.9109812412540235,202,201,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.65556767390748,-10.208192837637782]}"
00000000000000000054_0,735.0,1924.0,2.430534145287882,204,202,49,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.6510760974869,-10.071199756809548]}"
00000000000000000061_0,753.0,1868.0,0.7293808080069146,207,209,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.6286182153839,-10.520357398869308]}"
00000000000000000063_0,780.0,1866.0,0.6363150254665674,207,210,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.6331097918045,-10.527094763500202]}"
00000000000000000082_0,743.0,1889.0,1.0745142737756983,207,207,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.56798193370584,-10.300270154260033]}"
0000000000000000008c_0,757.0,1917.0,0.8264139166967814,207,206,48,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.1698531740659,-10.369889588779287]}"
0000000000000000008f_0,762.0,1880.0,1.3336510241077106,207,208,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.59043981580882,-10.385610106251377]}"
00000000000000000069_0,770.0,1860.0,0.6354846198147736,208,204,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.63760136822509,-10.572010527706183]}"
0000000000000000006f_0,767.0,1885.0,0.7987504698758613,209,210,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.70497501453406,-10.439509023298555]}"
00000000000000000086_0,769.0,1892.0,1.4955854229581618,209,209,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.70272922632377,-10.381118529830786]}"
0000000000000000005b_0,778.0,1879.0,1.616055994715449,212,213,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.65781346211779,-10.444000599719146]}"
00000000000000000070_0,763.0,1879.0,1.9623826240231084,214,220,48,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.68027134422077,-10.457475328980948]}"
0000000000000000008b_0,770.0,1876.0,1.1988952219646745,223,221,48,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.52082038128955,-10.38785589446168]}"
0000000000000000008e_0,770.0,1886.0,1.417901394840622,228,230,48,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.63760136822509,-10.396839047302876]}"
0000000000000000007d_0,758.0,1889.0,1.772441309755898,230,229,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.621880850753,-10.378872741620484]}"
00000000000000000088_0,1030.0,1736.0,1.7289351726357975,255,257,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.87278488388944,-11.057100781130728]}"
00000000000000000076_0,924.0,1806.0,2.5714128679732497,262,263,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.44833091214296,-10.780868831263973]}"
00000000000000000068_0,807.0,1668.0,0.8532914233281552,272,273,49,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.3219425259492,-10.713495184955008]}"
00000000000000000059_0,815.0,1630.0,0.9256048664074439,288,289,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.53304661771729,-10.911124547461299]}"
